"School","Year","Games","Wins","Losses","Ties","PreseasonRank","PostseasonRank","Srs","SpOverall","SpOffense","SpDefense","FirstName","LastName","HireDate"
"Colorado State","2021","12","3","9","0","","","-0.5","-2.4","23.3","25.9","Steve","Addazio","2019-12-10T00:00:00.000Z"
"Ohio","2021","12","3","9","0","","","-13.8","-11.6","25.1","35.2","Tim","Albin","2021-07-14T00:00:00.000Z"
"Indiana","2021","12","2","10","0","17","","-6.9","-7.8","20.4","27.3","Tom","Allen","2016-12-01T00:00:00.000Z"
"Utah State","2021","0","0","0","0","","","0.4","0.1","28.4","27.9","Blake","Anderson","2020-12-12T00:00:00.000Z"
"Utah State","2021","14","11","3","0","","24","0.4","0.1","28.4","27.9","Blake","Anderson","2020-12-12T00:00:00.000Z"
"Baylor","2021","14","12","2","0","","5","11.6","15.6","33.1","17.1","Dave","Aranda","2020-01-22T00:00:00.000Z"
"UNLV","2021","12","2","10","0","","","-7.9","-13.8","19.9","33","Marcus","Arroyo","2019-12-11T00:00:00.000Z"
"Akron","2021","9","2","7","0","","","-22.6","-23.1","20.3","41.7","Tom","Arth","2018-12-14T00:00:00.000Z"
"Boise State","2021","12","7","5","0","","","12.4","9.4","28.4","20.8","Andy","Avalos","2021-01-08T00:00:00.000Z"
"Syracuse","2021","12","5","7","0","","","1.1","0.3","27.1","25.2","Dino","Babers","2015-12-15T00:00:00.000Z"
"South Carolina","2021","13","7","6","0","","","0","3.9","26","24.2","Shane","Beamer","2020-12-06T00:00:00.000Z"
"Massachusetts","2021","9","1","8","0","","","-19.7","-29.3","16.1","43.9","Walt","Bell","2018-12-03T00:00:00.000Z"
"Illinois","2021","12","5","7","0","","","-0.9","4.3","23.2","21.8","Bret","Bielema","2020-12-19T00:00:00.000Z"
"Rice","2021","12","4","8","0","","","-15.6","-22.9","18.2","38.3","Mike","Bloomgren","2017-12-06T00:00:00.000Z"
"Wyoming","2021","13","7","6","0","","","-0.4","0.6","26","23.5","Craig","Bohl","2013-12-08T00:00:00.000Z"
"UL Monroe","2021","12","4","8","0","","","-14.4","-20.3","15.6","35.1","Terry","Bowden","2020-12-23T00:00:00.000Z"
"San José State","2021","12","5","7","0","","","-9.9","-1.9","22.6","25.2","Brent","Brennan","2016-12-07T00:00:00.000Z"
"Purdue","2021","13","9","4","0","","","7.9","10.3","32.6","21.1","Jeff","Brohm","2016-12-05T00:00:00.000Z"
"North Carolina","2021","13","6","7","0","10","","4.7","6.4","37.8","31.7","Mack","Brown","2018-11-27T00:00:00.000Z"
"West Virginia","2021","13","6","7","0","","","1.1","1.8","27.7","25","Neal","Brown","2019-01-04T00:00:00.000Z"
"Air Force","2021","13","10","3","0","","","8.8","7.4","30","22","Troy","Calhoun","2006-12-22T00:00:00.000Z"
"Iowa State","2021","13","7","6","0","7","","10.6","14.3","33.8","20.2","Matt","Campbell","2015-11-29T00:00:00.000Z"
"South Alabama","2021","0","0","0","0","","","-8.6","-7.2","21.4","28","Steve","Campbell","2020-12-12T00:00:00.000Z"
"Toledo","2021","13","7","6","0","","","0.4","6.9","29","20.7","Jason","Candle","2015-12-02T00:00:00.000Z"
"Temple","2021","12","3","9","0","","","-19.7","-19.1","17.5","34.1","Rod","Carey","2019-01-11T00:00:00.000Z"
"Coastal Carolina","2021","13","11","2","0","22","","2.8","13.2","39.5","26.1","Jamey","Chadwell","2019-01-18T00:00:00.000Z"
"Wisconsin","2021","13","9","4","0","12","","14","20.1","29.8","10.8","Paul","Chryst","2014-12-17T00:00:00.000Z"
"UAB","2021","13","9","4","0","","","1","9.1","32.1","21.7","Bill","Clark","2014-01-22T00:00:00.000Z"
"App State","2021","14","10","4","0","","","8","10.3","32","23.5","Shawn","Clark","2019-12-13T00:00:00.000Z"
"Wake Forest","2021","14","11","3","0","","15","12.5","10.1","38","29.2","Dave","Clawson","2013-12-09T00:00:00.000Z"
"Georgia Tech","2021","12","3","9","0","","","-3.6","-6.7","27","32.4","Geoff","Collins","2018-12-07T00:00:00.000Z"
"Eastern Michigan","2021","13","7","6","0","","","-4.9","-7.8","27.2","37.2","Chris","Creighton","2013-12-11T00:00:00.000Z"
"Oregon","2021","13","10","3","0","11","22","9.9","10.2","35","26","Mario","Cristobal","2017-12-08T00:00:00.000Z"
"Texas Tech","2021","5","2","3","0","","","-1.7","9.8","34.6","27.1","Sonny","Cumbie",""
"Duke","2021","12","3","9","0","","","-15.6","-13.5","23.4","36.3","David","Cutcliffe","2007-12-05T00:00:00.000Z"
"LSU","2021","1","0","1","0","16","","5.4","4.1","28","25.6","Brad","Davis",""
"Florida International","2021","12","1","11","0","","","-27.5","-21.6","19.9","40.2","Butch","Davis","2016-11-15T00:00:00.000Z"
"Ohio State","2021","13","11","2","0","4","6","21","29.3","47.2","20.6","Ryan","Day","2018-12-04T00:00:00.000Z"
"Fresno State","2021","12","9","3","0","","","5.2","10.8","34.7","24.2","Kalen","DeBoer","2019-12-17T00:00:00.000Z"
"Louisiana","2021","1","1","0","0","23","16","5.7","8.7","30.3","21.2","Michael","Desormeaux","2021-12-05T00:00:00.000Z"
"Miami","2021","12","7","5","0","14","","2.9","10.8","34.8","25","Manny","Diaz","2018-12-30T00:00:00.000Z"
"Washington State","2021","6","3","3","0","","","4.5","6.7","32","26","Jake","Dickert","2021-10-18T00:00:00.000Z"
"UTEP","2021","13","7","6","0","","","-6.7","-4.2","23.9","28.3","Dana","Dimel","2017-12-06T00:00:00.000Z"
"NC State","2021","12","9","3","0","","20","13.5","16.1","33.1","17.7","Dave","Doeren","2012-12-01T00:00:00.000Z"
"Colorado","2021","12","4","8","0","","","-5.8","-10","18.8","29.6","Karl","Dorrell","2020-02-23T00:00:00.000Z"
"Missouri","2021","13","6","7","0","","","-2.2","3.1","31.1","29.9","Eli","Drinkwitz","2019-12-09T00:00:00.000Z"
"SMU","2021","12","8","4","0","","","6.1","8.9","36.7","27.1","Sonny","Dykes","2017-12-11T00:00:00.000Z"
"UConn","2021","2","0","2","0","","","-21.4","-25.6","12.7","36.8","Randy","Edsall","2016-12-28T00:00:00.000Z"
"Arizona State","2021","13","8","5","0","25","","8.6","11.8","33.5","20.9","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Georgia State","2021","13","8","5","0","","","-6.6","1.8","27.5","26.7","Shawn","Elliott","2016-12-08T00:00:00.000Z"
"Iowa","2021","14","10","4","0","18","23","8.6","11.4","23.6","14.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Cincinnati","2021","14","13","1","0","8","4","16.9","21.2","37.5","15.9","Luke","Fickell","2016-12-10T00:00:00.000Z"
"Arizona","2021","12","1","11","0","","","-9.2","-12.6","19.2","32.3","Jedd","Fisch","2020-12-23T00:00:00.000Z"
"Texas A&M","2021","12","8","4","0","6","","12.2","21.1","33.6","14.9","Jimbo","Fisher","2017-12-01T00:00:00.000Z"
